"prod_id","prod_brand","prod_name","prod_desc","prod_cost","prod_rating","rev_count","prod_url"
20,"Asus","ASUS ZenFone 2 ZE500CL 4G LTE Single-SIM Factory Unlocked International Stock No Warranty (2GB RAM/16GB ROM | OSMIUM BLACK) - International Version No Warranty","None Osmium Black The Zenfone 2 comes with Single-SIM. Check with your carrier for network compatibility before purchase.",-1.00,3.40,23,"http://www.amazon.com/ZenFone-Single-SIM-Unlocked-International-Warranty/dp/B00UJDIGHC"
22,"Apple","Apple iPhone 6S Factory Sealed Unlocked Phone, 64GB (Gold)","None Gold 64 GB None None Iphone 6s with 64GB memory comes in different colors: Gold, Rose Gold, Silver and Space Gray. None Product will ship immediately (takes 2-4 days to arrive anywhere within USA). None Will provide best customer service in it's class for our customers. Please rest assured as your orders will be processed and shipped immediately. None The Iphone is 100% sealed and unlocked to be used worldwide.",844.00,4.30,40,"http://www.amazon.com/Apple-iPhone-6S-Factory-Unlocked/dp/B015E8U6EM"
23,"Apple","Apple iPhone 5 A1428 Factory Unlocked Cellphone, 16GB, Black","None Black 4-inch Retina display A6 chip, iOS 6 and iCloud 8.0MP iSight camera All-new EarPods and improved audio Unlocked cell phones are compatible with GSM carriers like AT&T; and T-Mobile as well as with GSM SIM cards (e.g. H20 and select prepaid carriers). Unlocked cell phones will not work with CDMA Carriers like Sprint, Verizon, Boost or Virgin.Packaging not sealed to verify content UPC# 85909-530175 Model Number# A1428",353.00,3.80,1357,"http://www.amazon.com/Apple-A1428-Factory-Unlocked-Cellphone/dp/B00ASURUYQ"
24,"Apple","Apple iPhone 4 Verizon Cellphone, 8GB, Black","None Black Product Description None This Apple iPhone 4 is a follow-up to the popular 3GS model and features a high-resolution 3.5-inch display, 5 megapixel camera with LED flash, and HD video recording. This iPhone 4 also features a front facing camera, full web browser, WiFi, Bluetooth compatibility, multi-format music player, GPS, and 8 GB of internal memory. This device may require a data plan for activation. Please, contact your phone carrier for details. None None From the Manufacturer Apple iPhone 4 8GB (Black) - Verizon",105.05,3.80,1718,"http://www.amazon.com/Apple-iPhone-Verizon-Cellphone-Black/dp/B0074R0Z3O"
25,"Apple","Apple iPhone 6 16GB (4.7-inch) 4G LTE Factory Unlocked GSM Dual-Core Smartphone - Gold","None Gold 16 GB Built on 64-bit desktop-class architecture, the new A8 chip delivers more power, even while driving a larger display. Other Features include: Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi hotspot, Bluetooth: v4.0, A2DP, USB: v2.0, GPS: with A-GPS, GLONASS, Browser: HTML (Safari), Messaging: iMessage, SMS (threaded view), MMS, Email, Push Email, Built-in rechargeable lithium-ion Battery, Talktime: Up to 14 Hours (3G), Standby: Up to 250 Hours (3G)",639.99,4.60,1232,"http://www.amazon.com/Apple-4-7-inch-Unlocked-Dual-Core-Smartphone/dp/B00NQGP3SO"
26,"Apple","Apple iPhone 6s 64 GB US Domestic Warranty Unlocked Cellphone - Retail Packaging (Rose Gold)","None Rose Gold 64 GB Item is in new factory sealed condition. I will only ship within the U.S.",869.99,4.30,40,"http://www.amazon.com/Apple-Domestic-Warranty-Unlocked-Cellphone/dp/B015E8UTIU"
27,"Apple","Apple iPhone 6 16GB 4G LTE Unlocked GSM Cell Phone - Space Gray","None Space Grey 16 GB Built on 64-bit desktop-class architecture, the new A8 chip delivers more power, even while driving a larger display.",621.50,4.60,1232,"http://www.amazon.com/Apple-iPhone-16GB-Unlocked-Phone/dp/B00NQGP42Y"
28,"Apple","Apple iPhone 5 Unlocked Cellphone, 16GB, White","None White Product Description This Brand New iphone 5 16GB White phone comes in Original box from Apple with all Original accessories in the box. This iphone 5 16GB phone comes Factory Unlocked for any GSM and will work with any GSM SIM card in the world. From the Manufacturer Unlocked cell phones are compatible with GSM carriers like ATT and T-Mobile, phones will NOT work with CDMA Carriers like Sprint, Verizon, Boost or Virgin. Please contact your provider before purchasing to ensure 100% compatibility. Product Description A slim and stylish design makes the Apple iPhone 5 smartphone lightweight and easy-to-carry around. Language Support: English (U.S.), English (UK), Chinese (Simplified), Chinese (Traditional), French, German, Italian, Japanese, Korean, Spanish, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, Greek, Hebrew, Hungarian, Indonesian, Malay, Norwegian, Polish, Portuguese, Portuguese (Brazil), Romanian, Russian, Slovak, Swedish, Thai, Turkish, Ukrainian, Vietnamese",359.95,3.80,1357,"http://www.amazon.com/Apple-iPhone-Unlocked-Cellphone-16GB/dp/B0097CZJEO"
29,"Apple","Apple iPhone 4 Verizon Cellphone, 8GB, White","None White Product Description Apple's iPhone 4 adds a gorgeous screen, terrific camera and faster processor to add to Apple's awesome app experience. This slim, powerful iPhone 4 MD200LL/A features a high-quality 5.0-megapixel digital camera with built-in LED flash, HD video with audio and Wi-Fi video calling. Multitasking capabilities allow you to switch easily between recently used apps. From the Manufacturer None Apple iPhone 4 8GB White - Verizon",103.99,3.80,1718,"http://www.amazon.com/Apple-iPhone-Verizon-Cellphone-White/dp/B0074R1IP8"
30,"Apple","Apple iPhone 6, Silver, 16 GB (Unlocked)","None Silver 16 GB None None Display None None None None None None None None None None iSight Camera None None None None None None None None None None None None None None None None Video Recording None None None None None None None None None None None Cellular and Wireless None None None None None None Power and Battery None None None None None None None None SIM card None None None None None In the Box None None None None Documentation",634.00,4.60,1232,"http://www.amazon.com/Apple-iPhone-Silver-16-Unlocked/dp/B00NQGP3L6"
31,"Apple","Apple iPhone 4 CDMA Verizon Cellphone, 16GB, Black","None Black Product Description At just 9.3mm, the iPhone 4 is thin as a rake but the front and back are 30 times stronger than the usual plastic. Reason - aluminosilicate glass, the stuff that windshields of military choppers are made of. The periphery is customized alloy, 5 times stronger than steel. Your accidental dropping won't hurt your pocket-communicator. The Retina Display packs in 4 times the amount of pixels (326 per inch) of iPhone 3, and makes the text and images slicing sharp. Thanks to the added 960 x 640 pixel screen watching of HD movies on the iPhone 4 becomes a gasp. When you become a shutterbug behind the iPhone 4 camera, you shoot 5 megapixel images and high-definition videos at 720p resolution, with the LED flash and autofocus that make things easier. Opt for the iMovie video editing software, and you become a movie maker. If you happen to have Wi-Fi around, the FaceTime feature gets you into true worldwide video chat and 'staying in touch' becomes real personal. And all it takes to choose between the front and rear camera is a tap. The 3-axis gyro, when coupled with accelerometer, results in 6-axis motion sensing, and that's as good as it can ever get for gaming on a cell phone. With 7 hours of talk time (3G)/10 hours of video/40 hours of audio, the iPhone 4 packs in enough power to let you do fast multitasking and then some more. From the Manufacturer Apple iPhone 4 16GB (Black) - Verizon",100.00,3.70,1227,"http://www.amazon.com/Apple-iPhone-Verizon-Cellphone-Black/dp/B004ZLV5UE"
32,"Apple","Apple iPhone 6s 64 GB US Domestic Warranty Unlocked Cellphone - Retail Packaging (Space Gray)","None Space Gray 64 GB None None None None None None None None None None None None None None None None None None None None None",868.97,4.30,40,"http://www.amazon.com/Apple-Domestic-Warranty-Unlocked-Cellphone/dp/B015E8UHY6"
33,"Apple","Apple iPhone 6 Plus 64GB 4G LTE Factory Unlocked GSM Smartphone - Gold","None Gold 64 GB Built on 64-bit desktop-class architecture, the new A8 chip delivers more power, even while driving a larger display.",898.69,4.40,603,"http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Smartphone/dp/B00NQGOO4I"
34,"Apple","Apple iPhone 4 (MD439LL/A) - 8GB Smartphone - Black - Verizon (Certified Refurbished)","This Apple iPhone 4 is a follow-up to the popular 3GS model and features a high-resolution 3.5-inch display, 5 megapixel camera with LED flash, and HD video recording. This iPhone 4 also features a front facing camera, full web browser, WiFi, Bluetooth compatibility, multi-format music player, GPS, and 8 GB of internal memory.",74.99,3.80,59,"http://www.amazon.com/Apple-iPhone-MD439LL-Smartphone-Refurbished/dp/B00YV50QU4"
35,"Apple","Apple iPhone 5c Unlocked Cellphone, 16GB, White","None 16 GB White Product Description None The iPhone 5c puts all of the features of the iPhone 5 into a completely new design colorful unibody shell that feels great in your hand. It features 4G LTE data, high resolution 4-inch display, Siri voice assistant, AirPlay media streaming, 8-megapixel main camera plus 1.2MP HD front camera. This iPhone 5c is also equipped with 16 GB storage, WiFi, Bluetooth compatibility, multi-format music player, and quadband GSM and WCDMA modes for international use. None None From the Manufacturer Apple New iPhone 16GB (White) - Unlocked",300.00,4.00,1385,"http://www.amazon.com/Apple-iPhone-5c-Unlocked-Cellphone/dp/B00F3ISEUC"
36,"Apple","Apple iPhone 6 Plus 16GB Unlocked GSM 4G LTE Cell Phone - Gold","None Gold 16 GB None None Display None None None None None None None None None None iSight Camera None None None None None None None None None None None None None None None None Video Recording None None None None None None None None None None None Cellular and Wireless None None None None None None Power and Battery None None None None None None None None SIM card None None None None None In the Box None None None None Documentation",769.95,4.40,603,"http://www.amazon.com/Apple-iPhone-Plus-Unlocked-Phone/dp/B00NQGONB2"
37,"Apple","Apple iPhone 6s 128 GB US Domestic Warranty Unlocked Cellphone - Retail Packaging (Space Gray)","None Space Gray 128 GB None None None None None None None None None None None None None None None None None None None None None",940.00,4.30,40,"http://www.amazon.com/Apple-Domestic-Warranty-Unlocked-Cellphone/dp/B015E8UKNE"
38,"Apple","Apple iPhone 5s Unlocked Cellphone, 16GB, Silver","None 16 GB Silver Product Description None This update to the iPhone 5 comes equipped with a faster Apple A7 processor, an improved 8-megapixel camera, while also adding a Touch ID fingerprint sensor into the home button. Other features of the iPhone 5s include a 4-inch Retina display, AirPlay media streaming, Siri voice assistant, front facing camera, and 4G LTE high-speed data. This model comes with 16GB of internal storage and supports WiFi connectivity, so you can browse the Web, stream videos, shop online, and chat with friends from wherever you are. The iPhone 5s offers a slim and stylish design that is both lightweight and easy to carry, and is also equipped for international use. None None From the Manufacturer Apple New iPhone 16GB (Black) - Unlocked",438.09,4.20,2086,"http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/dp/B00F3J4HCA"
39,"Apple","Apple iPhone 6s 16 GB US Domestic Warranty Unlocked Cellphone - Retail Packaging (Rose Gold)","None Rose Gold 16 GB None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None",747.94,4.30,40,"http://www.amazon.com/Apple-Domestic-Warranty-Unlocked-Cellphone/dp/B015E8UO80"
40,"Apple","Apple iPhone 6s 16 GB US Domestic Warranty Unlocked Cellphone - Retail Packaging (Silver)","None Silver 16 GB None None None None None None None None None None None None None None None None None None None None None",733.00,4.30,40,"http://www.amazon.com/Apple-Domestic-Warranty-Unlocked-Cellphone/dp/B015E8TKS0"
41,"Apple","Apple iPhone 6 Plus, Gold, 128 GB (Unlocked)","None Gold 128 GB Built on 64-bit desktop-class architecture, the new A8 chip delivers more power, even while driving a larger display.",-1.00,4.40,604,"http://www.amazon.com/Apple-iPhone-Plus-Gold-Unlocked/dp/B00NQGOOT8"
42,"Apple","Apple iPhone 6s 128 GB US Domestic Warranty Unlocked Cellphone - Retail Packaging (Rose Gold)","None Rose Gold 128 GB None None None None None None None None None None None None None None None None None None None None None",994.95,4.30,40,"http://www.amazon.com/Apple-Domestic-Warranty-Unlocked-Cellphone/dp/B015E8UW3M"
43,"Apple","Apple iPhone 5C Factory Unlocked Cellphone, 8GB, White","None White 8 GB The iPhone 5C has the things that made iPhone 5 an amazing phone - and more. All in a complete new design. Other Features include: Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi hotspot, Bluetooth: v4.0 with A2DP, LE, USB: v2.0, GPS: with A-GPS support and GLONASS, Browser: HTML (Safari), Messaging: iMessage, SMS (threaded view), MMS, Email, Push Email, Non-removable Li-Po 1510 mAh battery, Talktime: Up to 10 h, Standby time: 250 Hours",300.00,4.20,351,"http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Cellphone/dp/B00NZ8POJG"
